# Species	Genes	Alg.-Conn.	s6.faa	s7.faa	s5.faa	s3.faa	s4.faa	s2.faa	s1.faa
6	6	1	lcl|NC_009782.1_prot_1996	lcl|NC_009641.1_prot_WP_001791878.1_1991	lcl|NC_002758.2_prot_1995	lcl|NC_017333.1_prot_2043	lcl|NC_002745.2_prot_1879	*	lcl|NC_007795.1_prot_YP_500499.1_1820
4	4	1	lcl|NC_009782.1_prot_2045	lcl|NC_009641.1_prot_WP_001803147.1_2107	lcl|NC_002758.2_prot_2044	*	lcl|NC_002745.2_prot_1928	*	*
4	4	1	lcl|NC_009782.1_prot_2063	lcl|NC_009641.1_prot_2125	lcl|NC_002758.2_prot_2062	*	lcl|NC_002745.2_prot_1946	*	*
4	4	1	lcl|NC_009782.1_prot_2247	lcl|NC_009641.1_prot_2298	lcl|NC_002758.2_prot_2246	*	lcl|NC_002745.2_prot_2131	*	*
7	7	1	lcl|NC_009782.1_prot_226	lcl|NC_009641.1_prot_WP_001008722.1_177	lcl|NC_002758.2_prot_226	lcl|NC_017333.1_prot_WP_001008722.1_233	lcl|NC_002745.2_prot_WP_001008722.1_226	lcl|NC_007622.1_prot_WP_001008718.1_177	lcl|NC_007795.1_prot_YP_498780.1_168
7	7	1	lcl|NC_009782.1_prot_2354	lcl|NC_009641.1_prot_2408	lcl|NC_002758.2_prot_2353	lcl|NC_017333.1_prot_2345	lcl|NC_002745.2_prot_2246	lcl|NC_007622.1_prot_WP_000684745.1_2235	lcl|NC_007795.1_prot_YP_500921.1_2221
6	6	1	lcl|NC_009782.1_prot_2514	lcl|NC_009641.1_prot_WP_001789156.1_2565	lcl|NC_002758.2_prot_2513	lcl|NC_017333.1_prot_WP_001826197.1_2499	lcl|NC_002745.2_prot_2406	lcl|NC_007622.1_prot_WP_011382374.1_2392	*
6	6	1	lcl|NC_009782.1_prot_2583	lcl|NC_009641.1_prot_WP_001791744.1_2635	lcl|NC_002758.2_prot_2582	lcl|NC_017333.1_prot_2568	lcl|NC_002745.2_prot_2474	*	lcl|NC_007795.1_prot_YP_501155.1_2437
7	7	1	lcl|NC_009782.1_prot_2608	lcl|NC_009641.1_prot_WP_001790576.1_2660	lcl|NC_002758.2_prot_2607	lcl|NC_017333.1_prot_WP_001798790.1_2593	lcl|NC_002745.2_prot_2499	lcl|NC_007622.1_prot_WP_001798790.1_2482	lcl|NC_007795.1_prot_YP_501179.1_2460
4	4	1	lcl|NC_009782.1_prot_2647	lcl|NC_009641.1_prot_WP_001790145.1_2701	lcl|NC_002758.2_prot_2646	*	lcl|NC_002745.2_prot_2538	*	*
5	5	1	lcl|NC_009782.1_prot_2681	lcl|NC_009641.1_prot_WP_000088722.1_2734	lcl|NC_002758.2_prot_2680	*	lcl|NC_002745.2_prot_2572	*	lcl|NC_007795.1_prot_YP_501250.1_2526
5	5	1	lcl|NC_009782.1_prot_2687	lcl|NC_009641.1_prot_WP_000966099.1_2740	lcl|NC_002758.2_prot_2686	*	lcl|NC_002745.2_prot_2578	*	lcl|NC_007795.1_prot_YP_501256.1_2532
7	7	1	lcl|NC_009782.1_prot_2696	lcl|NC_009641.1_prot_WP_001790696.1_2748	lcl|NC_002758.2_prot_2695	lcl|NC_017333.1_prot_2669	lcl|NC_002745.2_prot_2587	lcl|NC_007622.1_prot_2556	lcl|NC_007795.1_prot_YP_501263.1_2539
7	7	0.571	lcl|NC_009782.1_prot_2707	lcl|NC_009641.1_prot_WP_001791763.1_2759	lcl|NC_002758.2_prot_2706	lcl|NC_017333.1_prot_2681	lcl|NC_002745.2_prot_2598	lcl|NC_007622.1_prot_2568	lcl|NC_007795.1_prot_YP_501275.1_2549
6	6	1	lcl|NC_009782.1_prot_273	lcl|NC_009641.1_prot_225	lcl|NC_002758.2_prot_273	lcl|NC_017333.1_prot_286	lcl|NC_002745.2_prot_273	lcl|NC_007622.1_prot_225	*
5	6	0.152	lcl|NC_009782.1_prot_276	lcl|NC_009641.1_prot_839,lcl|NC_009641.1_prot_228	lcl|NC_002758.2_prot_276	*	lcl|NC_002745.2_prot_276	lcl|NC_007622.1_prot_915	*
4	4	1	lcl|NC_009782.1_prot_2786	lcl|NC_009641.1_prot_2840	lcl|NC_002758.2_prot_2785	*	lcl|NC_002745.2_prot_2677	*	*
7	7	1	lcl|NC_009782.1_prot_2833	lcl|NC_009641.1_prot_WP_011447078.1_2886	lcl|NC_002758.2_prot_2832	lcl|NC_017333.1_prot_WP_014937089.1_2801	lcl|NC_002745.2_prot_2732	lcl|NC_007622.1_prot_WP_078062686.1_2689	lcl|NC_007795.1_prot_YP_501402.1_2672
6	6	1	lcl|NC_009782.1_prot_2849	lcl|NC_009641.1_prot_WP_001792441.1_2902	lcl|NC_002758.2_prot_2848	*	lcl|NC_002745.2_prot_2748	lcl|NC_007622.1_prot_WP_045157529.1_2705	lcl|NC_007795.1_prot_YP_501420.1_2688
7	7	1	lcl|NC_009782.1_prot_2909	lcl|NC_009641.1_prot_WP_000432356.1_2963	lcl|NC_002758.2_prot_2908	lcl|NC_017333.1_prot_WP_000799703.1_2875	lcl|NC_002745.2_prot_WP_000432352.1_2808	lcl|NC_007622.1_prot_WP_000432346.1_2767	lcl|NC_007795.1_prot_YP_501478.1_2745
7	7	1	lcl|NC_009782.1_prot_462	lcl|NC_009641.1_prot_WP_000669519.1_467	lcl|NC_002758.2_prot_461	lcl|NC_017333.1_prot_WP_000669524.1_528	lcl|NC_002745.2_prot_WP_000669519.1_434	lcl|NC_007622.1_prot_WP_000669520.1_426	lcl|NC_007795.1_prot_YP_498988.1_369
6	6	1	lcl|NC_009782.1_prot_509	lcl|NC_009641.1_prot_WP_001791812.1_515	lcl|NC_002758.2_prot_508	lcl|NC_017333.1_prot_574	lcl|NC_002745.2_prot_481	*	lcl|NC_007795.1_prot_YP_499028.1_409
5	9	0.111	lcl|NC_009782.1_prot_767,lcl|NC_009782.1_prot_WP_001797788.1_2884	lcl|NC_009641.1_prot_WP_001791631.1_1686	lcl|NC_002758.2_prot_766,lcl|NC_002758.2_prot_WP_001797788.1_2883	*	lcl|NC_002745.2_prot_739,lcl|NC_002745.2_prot_WP_001797788.1_2783	lcl|NC_007622.1_prot_2327,lcl|NC_007622.1_prot_WP_078062637.1_504	*
4	4	1	lcl|NC_009782.1_prot_812	lcl|NC_009641.1_prot_2938	lcl|NC_002758.2_prot_811	*	lcl|NC_002745.2_prot_784	*	*
6	6	1	lcl|NC_009782.1_prot_82	lcl|NC_009641.1_prot_WP_000048258.1_30	lcl|NC_002758.2_prot_82	*	lcl|NC_002745.2_prot_82	lcl|NC_007622.1_prot_WP_078062689.1_32	lcl|NC_007795.1_prot_YP_498637.1_29
6	6	0.667	lcl|NC_009782.1_prot_827	lcl|NC_009641.1_prot_WP_000501747.1_838	lcl|NC_002758.2_prot_826	lcl|NC_017333.1_prot_WP_014653244.1_2419	lcl|NC_002745.2_prot_799	lcl|NC_007622.1_prot_WP_042852393.1_172	*
5	5	1	lcl|NC_009782.1_prot_91	lcl|NC_009641.1_prot_38	lcl|NC_002758.2_prot_91	*	lcl|NC_002745.2_prot_91	lcl|NC_007622.1_prot_WP_042852388.1_41	*
7	7	1	lcl|NC_009782.1_prot_983	lcl|NC_009641.1_prot_WP_001790198.1_904	lcl|NC_002758.2_prot_982	lcl|NC_017333.1_prot_950	lcl|NC_002745.2_prot_867	lcl|NC_007622.1_prot_855	lcl|NC_007795.1_prot_YP_499406.1_774
7	7	1	lcl|NC_009782.1_prot_WP_000002071.1_325	lcl|NC_009641.1_prot_WP_000002068.1_287	lcl|NC_002758.2_prot_WP_000002071.1_325	lcl|NC_017333.1_prot_WP_000002071.1_336	lcl|NC_002745.2_prot_WP_000002071.1_325	lcl|NC_007622.1_prot_WP_000002078.1_276	lcl|NC_007795.1_prot_YP_498882.1_265
5	6	0.667	lcl|NC_009782.1_prot_WP_000002577.1_961	lcl|NC_009641.1_prot_WP_000002578.1_1175,lcl|NC_009641.1_prot_WP_000002577.1_2020	lcl|NC_002758.2_prot_WP_000002577.1_960	*	*	lcl|NC_007622.1_prot_WP_000002584.1_1854	lcl|NC_007795.1_prot_YP_500531.1_1851
7	7	1	lcl|NC_009782.1_prot_WP_000002683.1_2343	lcl|NC_009641.1_prot_WP_000002683.1_2397	lcl|NC_002758.2_prot_WP_000002683.1_2342	lcl|NC_017333.1_prot_WP_000002683.1_2334	lcl|NC_002745.2_prot_WP_000002683.1_2235	lcl|NC_007622.1_prot_WP_000002681.1_2224	lcl|NC_007795.1_prot_YP_500910.1_2210
7	7	1	lcl|NC_009782.1_prot_WP_000002973.1_2458	lcl|NC_009641.1_prot_WP_000002973.1_2509	lcl|NC_002758.2_prot_WP_000002973.1_2457	lcl|NC_017333.1_prot_WP_000002971.1_2444	lcl|NC_002745.2_prot_WP_000002973.1_2350	lcl|NC_007622.1_prot_WP_000002970.1_2334	lcl|NC_007795.1_prot_YP_501025.1_2322
7	7	1	lcl|NC_009782.1_prot_WP_000003566.1_1215	lcl|NC_009641.1_prot_WP_000003559.1_1201	lcl|NC_002758.2_prot_WP_000003566.1_1214	lcl|NC_017333.1_prot_WP_000003566.1_1202	lcl|NC_002745.2_prot_WP_000003566.1_1099	lcl|NC_007622.1_prot_WP_000003570.1_1089	lcl|NC_007795.1_prot_YP_499637.1_1000
7	7	1	lcl|NC_009782.1_prot_WP_000003759.1_2305	lcl|NC_009641.1_prot_WP_000003759.1_2356	lcl|NC_002758.2_prot_WP_000003759.1_2304	lcl|NC_017333.1_prot_WP_000003759.1_2281	lcl|NC_002745.2_prot_WP_000003759.1_2189	lcl|NC_007622.1_prot_WP_000003759.1_2188	lcl|NC_007795.1_prot_YP_500865.1_2172
7	7	1	lcl|NC_009782.1_prot_WP_000003870.1_1282	lcl|NC_009641.1_prot_WP_000003870.1_1267	lcl|NC_002758.2_prot_WP_000003870.1_1281	lcl|NC_017333.1_prot_WP_000003870.1_1268	lcl|NC_002745.2_prot_WP_000003870.1_1166	lcl|NC_007622.1_prot_WP_000003872.1_1156	lcl|NC_007795.1_prot_YP_499704.1_1064
7	7	1	lcl|NC_009782.1_prot_WP_000004085.1_2401	lcl|NC_009641.1_prot_WP_000004086.1_2454	lcl|NC_002758.2_prot_WP_000004085.1_2400	lcl|NC_017333.1_prot_WP_000004086.1_2389	lcl|NC_002745.2_prot_WP_000004085.1_2293	lcl|NC_007622.1_prot_WP_000004086.1_2278	lcl|NC_007795.1_prot_YP_500970.1_2268
7	7	1	lcl|NC_009782.1_prot_WP_000004335.1_1881	lcl|NC_009641.1_prot_WP_000004335.1_1864	lcl|NC_002758.2_prot_WP_000004335.1_1880	lcl|NC_017333.1_prot_WP_000004338.1_1919	lcl|NC_002745.2_prot_WP_000004335.1_1764	lcl|NC_007622.1_prot_WP_000004344.1_1749	lcl|NC_007795.1_prot_YP_500374.1_1706
7	7	1	lcl|NC_009782.1_prot_WP_000004981.1_1965	lcl|NC_009641.1_prot_WP_000004981.1_1958	lcl|NC_002758.2_prot_WP_000004981.1_1964	lcl|NC_017333.1_prot_WP_000004984.1_2013	lcl|NC_002745.2_prot_WP_000004981.1_1848	lcl|NC_007622.1_prot_WP_000004981.1_1913	lcl|NC_007795.1_prot_YP_500466.1_1791
7	7	1	lcl|NC_009782.1_prot_WP_000005212.1_1565	lcl|NC_009641.1_prot_WP_000004947.1_1558	lcl|NC_002758.2_prot_WP_000005212.1_1564	lcl|NC_017333.1_prot_WP_000005219.1_1547	lcl|NC_002745.2_prot_WP_000005212.1_1449	lcl|NC_007622.1_prot_WP_000005212.1_1443	lcl|NC_007795.1_prot_YP_499997.1_1342
7	7	1	lcl|NC_009782.1_prot_WP_000005886.1_876	lcl|NC_009641.1_prot_WP_000005886.1_872	lcl|NC_002758.2_prot_WP_000005886.1_875	lcl|NC_017333.1_prot_WP_000005881.1_918	lcl|NC_002745.2_prot_WP_000005886.1_825	lcl|NC_007622.1_prot_WP_000005883.1_815	lcl|NC_007795.1_prot_YP_499375.1_743
7	7	1	lcl|NC_009782.1_prot_WP_000006110.1_1402	lcl|NC_009641.1_prot_WP_000006110.1_1387	lcl|NC_002758.2_prot_WP_000006110.1_1401	lcl|NC_017333.1_prot_WP_000006110.1_1390	lcl|NC_002745.2_prot_WP_000006110.1_1286	lcl|NC_007622.1_prot_WP_000006110.1_1278	lcl|NC_007795.1_prot_YP_499823.1_1181
7	7	1	lcl|NC_009782.1_prot_WP_000006551.1_822	lcl|NC_009641.1_prot_WP_000006551.1_842	lcl|NC_002758.2_prot_WP_000006551.1_821	lcl|NC_017333.1_prot_WP_000006551.1_891	lcl|NC_002745.2_prot_WP_000006551.1_794	lcl|NC_007622.1_prot_WP_000006551.1_786	lcl|NC_007795.1_prot_YP_499346.1_717
7	7	1	lcl|NC_009782.1_prot_WP_000007678.1_1320	lcl|NC_009641.1_prot_WP_000007683.1_1305	lcl|NC_002758.2_prot_WP_000007678.1_1319	lcl|NC_017333.1_prot_WP_000007685.1_1306	lcl|NC_002745.2_prot_WP_000007678.1_1204	lcl|NC_007622.1_prot_WP_000007686.1_1194	lcl|NC_007795.1_prot_YP_499742.1_1102
7	7	1	lcl|NC_009782.1_prot_WP_000007967.1_1032	lcl|NC_009641.1_prot_WP_000007967.1_953	lcl|NC_002758.2_prot_WP_000007967.1_1031	lcl|NC_017333.1_prot_WP_000007965.1_998	lcl|NC_002745.2_prot_WP_000007967.1_916	lcl|NC_007622.1_prot_WP_000007965.1_905	lcl|NC_007795.1_prot_YP_499454.1_822
7	7	1	lcl|NC_009782.1_prot_WP_000008673.1_2455	lcl|NC_009641.1_prot_WP_000008673.1_2506	lcl|NC_002758.2_prot_WP_000008673.1_2454	lcl|NC_017333.1_prot_WP_000008678.1_2441	lcl|NC_002745.2_prot_WP_000008673.1_2347	lcl|NC_007622.1_prot_WP_000008679.1_2331	lcl|NC_007795.1_prot_YP_501022.1_2319
7	7	1	lcl|NC_009782.1_prot_WP_000009069.1_1152	lcl|NC_009641.1_prot_WP_000009069.1_1074	lcl|NC_002758.2_prot_WP_000009069.1_1151	lcl|NC_017333.1_prot_WP_000009073.1_1139	lcl|NC_002745.2_prot_WP_000009069.1_1036	lcl|NC_007622.1_prot_WP_000009078.1_1027	lcl|NC_007795.1_prot_YP_499574.1_939
7	7	1	lcl|NC_009782.1_prot_WP_000009238.1_1735	lcl|NC_009641.1_prot_WP_000009238.1_1726	lcl|NC_002758.2_prot_WP_000009238.1_1734	lcl|NC_017333.1_prot_WP_000009235.1_1784	lcl|NC_002745.2_prot_WP_000009238.1_1619	lcl|NC_007622.1_prot_WP_000009239.1_1614	lcl|NC_007795.1_prot_YP_500238.1_1575
7	7	1	lcl|NC_009782.1_prot_WP_000011542.1_2049	lcl|NC_009641.1_prot_WP_000011542.1_2111	lcl|NC_002758.2_prot_WP_000011542.1_2048	lcl|NC_017333.1_prot_WP_000011542.1_2095	lcl|NC_002745.2_prot_WP_000011542.1_1932	lcl|NC_007622.1_prot_WP_000011544.1_1996	lcl|NC_007795.1_prot_YP_500621.1_1939
7	7	1	lcl|NC_009782.1_prot_WP_000011687.1_2741	lcl|NC_009641.1_prot_WP_000011687.1_2794	lcl|NC_002758.2_prot_WP_000011687.1_2740	lcl|NC_017333.1_prot_WP_000011687.1_2716	lcl|NC_002745.2_prot_WP_000011687.1_2632	lcl|NC_007622.1_prot_WP_000011687.1_2602	lcl|NC_007795.1_prot_YP_501310.1_2583
7	7	1	lcl|NC_009782.1_prot_WP_000011688.1_2815	lcl|NC_009641.1_prot_WP_000011688.1_2867	lcl|NC_002758.2_prot_WP_000011688.1_2814	lcl|NC_017333.1_prot_WP_000011688.1_2783	lcl|NC_002745.2_prot_WP_000011688.1_2714	lcl|NC_007622.1_prot_WP_000011688.1_2672	lcl|NC_007795.1_prot_YP_501384.1_2654
7	7	1	lcl|NC_009782.1_prot_WP_000011826.1_1418	lcl|NC_009641.1_prot_WP_000011823.1_1411	lcl|NC_002758.2_prot_WP_000011826.1_1417	lcl|NC_017333.1_prot_WP_000011820.1_1401	lcl|NC_002745.2_prot_WP_000011826.1_1302	lcl|NC_007622.1_prot_WP_000011821.1_1291	lcl|NC_007795.1_prot_YP_499847.1_1203
7	7	1	lcl|NC_009782.1_prot_WP_000017736.1_1129	lcl|NC_009641.1_prot_WP_000017736.1_1051	lcl|NC_002758.2_prot_WP_000017736.1_1128	lcl|NC_017333.1_prot_WP_000017736.1_1116	lcl|NC_002745.2_prot_WP_000017736.1_1013	lcl|NC_007622.1_prot_WP_000017736.1_1004	lcl|NC_007795.1_prot_YP_499552.1_917
7	7	1	lcl|NC_009782.1_prot_WP_000018608.1_1273	lcl|NC_009641.1_prot_WP_000018608.1_1258	lcl|NC_002758.2_prot_WP_000018608.1_1272	lcl|NC_017333.1_prot_WP_000018608.1_1260	lcl|NC_002745.2_prot_WP_000018608.1_1157	lcl|NC_007622.1_prot_WP_000018608.1_1146	lcl|NC_007795.1_prot_YP_499695.1_1056
7	7	1	lcl|NC_009782.1_prot_WP_000019127.1_2594	lcl|NC_009641.1_prot_WP_000019127.1_2646	lcl|NC_002758.2_prot_WP_000019127.1_2593	lcl|NC_017333.1_prot_WP_000019127.1_2579	lcl|NC_002745.2_prot_WP_000019127.1_2485	lcl|NC_007622.1_prot_WP_000019129.1_2470	lcl|NC_007795.1_prot_YP_501166.1_2448
7	7	1	lcl|NC_009782.1_prot_WP_000019691.1_1643	lcl|NC_009641.1_prot_WP_000019687.1_1637	lcl|NC_002758.2_prot_WP_000019691.1_1642	lcl|NC_017333.1_prot_WP_000019698.1_1696	lcl|NC_002745.2_prot_WP_000019691.1_1527	lcl|NC_007622.1_prot_WP_000019695.1_1525	lcl|NC_007795.1_prot_YP_500146.1_1489
7	7	1	lcl|NC_009782.1_prot_WP_000019734.1_2306	lcl|NC_009641.1_prot_WP_000019744.1_2357	lcl|NC_002758.2_prot_WP_000019734.1_2305	lcl|NC_017333.1_prot_WP_000019735.1_2282	lcl|NC_002745.2_prot_WP_000019734.1_2190	lcl|NC_007622.1_prot_WP_000019736.1_2189	lcl|NC_007795.1_prot_YP_500866.1_2173
7	7	1	lcl|NC_009782.1_prot_WP_000020304.1_576	lcl|NC_009641.1_prot_WP_000020304.1_582	lcl|NC_002758.2_prot_WP_000020304.1_575	lcl|NC_017333.1_prot_WP_000020293.1_642	lcl|NC_002745.2_prot_WP_000020304.1_548	lcl|NC_007622.1_prot_WP_000020294.1_538	lcl|NC_007795.1_prot_YP_499095.1_473
7	7	1	lcl|NC_009782.1_prot_WP_000020347.1_1373	lcl|NC_009641.1_prot_WP_000020361.1_1358	lcl|NC_002758.2_prot_WP_000020347.1_1372	lcl|NC_017333.1_prot_WP_000020355.1_1360	lcl|NC_002745.2_prot_WP_000020347.1_1257	lcl|NC_007622.1_prot_WP_000020370.1_1247	lcl|NC_007795.1_prot_YP_499794.1_1152
7	7	1	lcl|NC_009782.1_prot_WP_000020814.1_634	lcl|NC_009641.1_prot_WP_000020800.1_641	lcl|NC_002758.2_prot_WP_000020814.1_633	lcl|NC_017333.1_prot_WP_000020794.1_701	lcl|NC_002745.2_prot_WP_000020814.1_606	lcl|NC_007622.1_prot_WP_000022044.1_597	lcl|NC_007795.1_prot_YP_499151.1_529
7	7	1	lcl|NC_009782.1_prot_WP_000020853.1_1356	lcl|NC_009641.1_prot_WP_000020853.1_1341	lcl|NC_002758.2_prot_WP_000020853.1_1355	lcl|NC_017333.1_prot_WP_000020856.1_1343	lcl|NC_002745.2_prot_WP_000020853.1_1240	lcl|NC_007622.1_prot_WP_000020852.1_1229	lcl|NC_007795.1_prot_YP_499778.1_1136
7	7	1	lcl|NC_009782.1_prot_WP_000021445.1_540	lcl|NC_009641.1_prot_WP_000021445.1_546	lcl|NC_002758.2_prot_WP_000021445.1_539	lcl|NC_017333.1_prot_WP_000021445.1_604	lcl|NC_002745.2_prot_WP_000021445.1_512	lcl|NC_007622.1_prot_WP_000021442.1_499	lcl|NC_007795.1_prot_YP_499060.1_439
7	7	1	lcl|NC_009782.1_prot_WP_000021865.1_1090	lcl|NC_009641.1_prot_WP_000021864.1_1011	lcl|NC_002758.2_prot_WP_000021865.1_1089	lcl|NC_017333.1_prot_WP_000021872.1_1077	lcl|NC_002745.2_prot_WP_000021865.1_974	lcl|NC_007622.1_prot_WP_000021871.1_963	lcl|NC_007795.1_prot_YP_499512.1_879
7	7	1	lcl|NC_009782.1_prot_WP_000022323.1_760	lcl|NC_009641.1_prot_WP_000022323.1_779	lcl|NC_002758.2_prot_WP_000022323.1_759	lcl|NC_017333.1_prot_WP_000022329.1_831	lcl|NC_002745.2_prot_WP_000022323.1_732	lcl|NC_007622.1_prot_WP_000022323.1_725	lcl|NC_007795.1_prot_YP_499286.1_659
7	7	1	lcl|NC_009782.1_prot_WP_000023319.1_1717	lcl|NC_009641.1_prot_WP_000023316.1_1709	lcl|NC_002758.2_prot_WP_000023319.1_1716	lcl|NC_017333.1_prot_WP_000023313.1_1768	lcl|NC_002745.2_prot_WP_000023319.1_1601	lcl|NC_007622.1_prot_WP_000023339.1_1597	lcl|NC_007795.1_prot_YP_500221.1_1560
7	7	1	lcl|NC_009782.1_prot_WP_000024139.1_2756	lcl|NC_009641.1_prot_WP_000024127.1_2812	lcl|NC_002758.2_prot_WP_000024139.1_2755	lcl|NC_017333.1_prot_WP_000024131.1_2731	lcl|NC_002745.2_prot_WP_000024139.1_2647	lcl|NC_007622.1_prot_WP_000024121.1_2618	lcl|NC_007795.1_prot_YP_501328.1_2601
7	7	1	lcl|NC_009782.1_prot_WP_000024827.1_2409	lcl|NC_009641.1_prot_WP_000024827.1_2462	lcl|NC_002758.2_prot_WP_000024827.1_2408	lcl|NC_017333.1_prot_WP_000024827.1_2397	lcl|NC_002745.2_prot_WP_000024827.1_2301	lcl|NC_007622.1_prot_WP_000024827.1_2286	lcl|NC_007795.1_prot_YP_500978.1_2276
4	4	1	lcl|NC_009782.1_prot_WP_000025274.1_2111	lcl|NC_009641.1_prot_WP_000025274.1_2175	lcl|NC_002758.2_prot_WP_000025274.1_2110	*	lcl|NC_002745.2_prot_WP_000025274.1_1994	*	*
7	7	1	lcl|NC_009782.1_prot_WP_000025835.1_1763	lcl|NC_009641.1_prot_WP_000025835.1_1754	lcl|NC_002758.2_prot_WP_000025835.1_1762	lcl|NC_017333.1_prot_WP_000041095.1_1812	lcl|NC_002745.2_prot_WP_000025835.1_1647	lcl|NC_007622.1_prot_WP_000025835.1_1642	lcl|NC_007795.1_prot_YP_008530242.1_1602
7	7	1	lcl|NC_009782.1_prot_WP_000026189.1_2641	lcl|NC_009641.1_prot_WP_001802848.1_2695	lcl|NC_002758.2_prot_WP_000026189.1_2640	lcl|NC_017333.1_prot_WP_000026191.1_2623	lcl|NC_002745.2_prot_WP_000026189.1_2532	lcl|NC_007622.1_prot_WP_000026197.1_2514	lcl|NC_007795.1_prot_YP_501211.1_2491
7	7	1	lcl|NC_009782.1_prot_WP_000026308.1_1376	lcl|NC_009641.1_prot_WP_000026308.1_1361	lcl|NC_002758.2_prot_WP_000026308.1_1375	lcl|NC_017333.1_prot_WP_000026308.1_1363	lcl|NC_002745.2_prot_WP_000026308.1_1260	lcl|NC_007622.1_prot_WP_000026308.1_1250	lcl|NC_007795.1_prot_YP_499797.1_1155
