number Species	Genes	Alg.-Conn.	r1.faa	r2.faa	r3.faa	r4.faa	r5.faa	r6.faa	r7.faa
7	7	0.858	WP_010977563.1	WP_011191061.1	WP_011477259.1	WP_012151120.1	WP_014392609.1	NP_220991.1	WP_004596265.1
7	7	0.858	WP_010977589.1	WP_011191093.1	WP_011477723.1	WP_004997779.1	WP_014392637.1	NP_221025.1	WP_004596195.1
7	7	0.857	WP_004997409.1	WP_011191185.1	WP_012152230.1	WP_004997409.1	WP_004997409.1	NP_221118.1	WP_010886365.1
7	7	0.857	WP_010977039.1	WP_011190742.1	WP_011477671.1	WP_012150596.1	WP_045800243.1	NP_220670.1	WP_004597362.1
7	7	0.857	WP_010977584.1	WP_011191085.1	WP_011477715.1	WP_010977584.1	WP_014014632.1	NP_221017.1	WP_004596205.1
7	7	0.857	WP_010977764.1	WP_011191187.1	WP_011476827.1	WP_010977764.1	WP_045800070.1	NP_221120.1	WP_004596966.1
7	7	0.856	WP_004996647.1	WP_011190592.1	WP_011477821.1	WP_004996647.1	WP_004996647.1	NP_220522.1	WP_004597174.1
7	7	0.856	WP_010976718.1	WP_011190575.1	WP_011477938.1	WP_010976718.1	WP_010976718.1	NP_220420.1	WP_004596664.1
7	7	0.856	WP_041471753.1	WP_011191252.1	WP_011476857.1	WP_012151403.1	WP_014391612.1	NP_221184.1	WP_004596819.1
7	7	0.855	WP_004995690.1	WP_004599080.1	WP_011477400.1	WP_004995690.1	WP_014392261.1	NP_220888.1	WP_004599080.1
7	7	0.855	WP_010977044.1	WP_011190748.1	WP_011477676.1	WP_012150601.1	WP_014392038.1	NP_220676.1	WP_004597371.1
7	7	0.855	WP_010977101.1	WP_011190787.1	WP_011477377.1	WP_012262324.1	WP_014392092.1	NP_220716.1	WP_004597459.1
7	7	0.855	WP_012150652.1	WP_011190782.1	WP_041804848.1	WP_012150652.1	WP_014392086.1	NP_220710.1	WP_004597447.1
7	7	0.855	WP_014411056.1	WP_011191180.1	WP_011476813.1	WP_014362415.1	WP_014392773.1	NP_221113.1	WP_004596976.1
7	7	0.855	WP_029374443.1	WP_011190750.1	WP_011477678.1	WP_014362315.1	WP_014392040.1	NP_220678.1	WP_004597373.1
7	7	0.854	WP_004996646.1	WP_011190593.1	WP_011477820.1	WP_012150390.1	WP_014391843.1	NP_220523.1	WP_004597175.1
7	7	0.854	WP_010977709.1	WP_011191157.1	WP_011476837.1	WP_012262574.1	WP_014392737.1	NP_221091.1	WP_004597024.1
7	7	0.854	WP_010977731.1	WP_011191167.1	WP_011478060.1	WP_004997483.1	WP_004997483.1	NP_221101.1	WP_004597004.1
7	7	0.853	WP_010977588.1	WP_011191092.1	WP_011477722.1	WP_012151153.1	WP_012153050.1	NP_221024.1	WP_004596198.1
7	7	0.852	WP_004996349.1	WP_004598533.1	WP_011477630.1	WP_012150539.1	WP_014391970.1	NP_220626.1	WP_004598533.1
7	7	0.852	WP_010976754.1	WP_011190559.1	WP_011478040.1	WP_012262192.1	WP_014391756.1	NP_220438.1	WP_004596634.1
7	7	0.852	WP_041471750.1	WP_011191219.1	WP_011476792.1	WP_012151343.1	WP_014392817.1	NP_221151.1	WP_004599657.1
7	7	0.851	WP_004997072.1	WP_011191295.1	WP_011478029.1	WP_004997072.1	WP_004997072.1	NP_221225.1	WP_004596729.1
7	7	0.851	WP_010976760.1	WP_011190554.1	WP_011476706.1	WP_010976760.1	WP_014391762.1	NP_220443.1	WP_004596626.1
7	7	0.851	WP_010977045.1	WP_011190749.1	WP_011477677.1	WP_012150602.1	WP_014392039.1	NP_220677.1	WP_004597372.1
7	7	0.851	WP_010977576.1	WP_011191071.1	WP_011477699.1	WP_012151135.1	WP_014392619.1	NP_221001.1	WP_004596237.1
7	7	0.85	WP_010976691.1	WP_011190478.1	WP_011476697.1	WP_012150225.1	WP_014391687.1	NP_220397.1	WP_010886186.1
7	7	0.85	WP_010976831.1	WP_011190496.1	WP_011477842.1	WP_012150373.1	WP_053350894.1	NP_220507.1	WP_004599751.1
7	7	0.85	WP_010977347.1	WP_011190927.1	WP_011477607.1	WP_004998325.1	WP_014392429.1	NP_220861.1	WP_004597725.1
7	7	0.85	WP_010977646.1	WP_011191124.1	WP_011477171.1	WP_012151203.1	WP_045800494.1	NP_221053.1	WP_004598091.1
7	7	0.85	WP_010977860.1	WP_011191256.1	WP_011477301.1	WP_012151409.1	WP_014391618.1	NP_221188.1	WP_004599674.1
7	7	0.85	WP_041471709.1	WP_011190688.1	WP_011476923.1	WP_012150524.1	WP_014391953.1	NP_220614.1	WP_004596041.1
7	7	0.849	WP_004997871.1	WP_011191062.1	WP_011477260.1	WP_012151121.1	WP_014392610.1	NP_220992.1	WP_004596263.1
7	7	0.849	WP_004997902.1	WP_004599167.1	WP_011477128.1	WP_012148483.1	WP_014392588.1	NP_220982.1	WP_004599167.1
7	7	0.849	WP_010976745.1	WP_011190567.1	WP_011478022.1	WP_012150287.1	WP_014391746.1	NP_220430.1	WP_004596648.1
7	7	0.849	WP_010977274.1	WP_011190951.1	WP_011477401.1	WP_012150839.1	WP_014392260.1	NP_220889.1	WP_004599079.1
7	7	0.849	WP_010977486.1	WP_011191015.1	WP_011477654.1	WP_012151045.1	WP_014392346.1	NP_220949.1	WP_004597892.1
7	7	0.848	WP_004996064.1	WP_011190783.1	WP_011477384.1	WP_012150653.1	WP_014365972.1	NP_220711.1	WP_004597449.1
7	7	0.848	WP_004996373.1	WP_011190693.1	WP_011476918.1	WP_012150529.1	WP_014391958.1	NP_220619.1	WP_004596047.1
7	7	0.848	WP_010976770.1	WP_011190547.1	WP_011478000.1	WP_010976770.1	WP_014391770.1	NP_220452.1	WP_004599719.1
7	7	0.848	WP_010977579.1	WP_011191076.1	WP_011477704.1	WP_012151140.1	WP_014392624.1	NP_221006.1	WP_004596227.1
7	7	0.848	WP_010977581.1	WP_011191079.1	WP_011477707.1	WP_010977581.1	WP_010977581.1	NP_221009.1	WP_004596222.1
7	7	0.848	WP_010977582.1	WP_011191081.1	WP_011477709.1	WP_012151144.1	WP_045800469.1	NP_221011.1	WP_004599192.1
7	7	0.847	WP_004995863.1	WP_011190841.1	WP_011477016.1	WP_012150739.1	WP_014392169.1	NP_220773.1	WP_004597572.1
7	7	0.847	WP_004997813.1	WP_004596218.1	WP_011477711.1	WP_012151146.1	WP_014392629.1	NP_221013.1	WP_004596218.1
7	7	0.847	WP_004998383.1	WP_014419441.1	WP_011477405.1	WP_004998383.1	WP_014392309.1	NP_220899.1	WP_004597794.1
7	7	0.847	WP_010977556.1	WP_011191053.1	WP_011477141.1	WP_004997890.1	WP_014392598.1	NP_220986.1	WP_004596285.1
7	7	0.847	WP_010977922.1	WP_011191300.1	WP_011478077.1	WP_012151473.1	WP_053350869.1	NP_221229.1	WP_004599693.1
7	7	0.846	WP_004996557.1	WP_011190638.1	WP_011477754.1	WP_012150440.1	WP_014391889.1	NP_220566.1	WP_004595912.1
7	7	0.846	WP_010976851.1	WP_011190601.1	WP_011477812.1	WP_012150397.1	WP_053350900.1	NP_220531.1	WP_010886216.1
7	7	0.846	WP_010977003.1	WP_011190719.1	WP_011476953.1	WP_012150561.1	WP_014391994.1	NP_220647.1	WP_004596097.1
7	7	0.846	WP_010977394.1	WP_011190932.1	WP_011477863.1	WP_012150865.1	WP_014392285.1	NP_220867.1	WP_004597733.1
7	7	0.846	WP_010977515.1	WP_011191035.1	WP_011477514.1	WP_010977515.1	WP_014392565.1	NP_220969.1	WP_004597944.1
7	7	0.846	WP_010977593.1	WP_011191095.1	WP_011477726.1	WP_012151157.1	WP_053351100.1	NP_221027.1	WP_004596191.1
7	7	0.846	WP_016830768.1	WP_011190898.1	WP_011477465.1	WP_014362344.1	WP_014392249.1	NP_220831.1	WP_004597677.1
7	7	0.845	WP_004997791.1	WP_011191088.1	WP_011477718.1	WP_012151149.1	WP_053351097.1	NP_221020.1	WP_004596202.1
7	7	0.845	WP_010976817.1	WP_011190509.1	WP_011477926.1	WP_010976817.1	WP_014391790.1	YP_008550181.1	WP_004599742.1
7	7	0.845	WP_010977580.1	WP_011191078.1	WP_011477706.1	WP_012151142.1	WP_014392626.1	NP_221008.1	WP_004596224.1
7	7	0.845	WP_010977585.1	WP_011191086.1	WP_011477716.1	WP_004997796.1	WP_014392632.1	NP_221018.1	WP_004596204.1
7	7	0.845	WP_010977866.1	WP_011191260.1	WP_011477976.1	WP_012262633.1	WP_014391624.1	NP_221192.1	WP_014411765.1
7	7	0.844	WP_004995684.1	WP_011190947.1	WP_011477445.1	WP_012150848.1	WP_053351006.1	NP_220884.1	WP_004597760.1
7	7	0.844	WP_010976814.1	WP_011190511.1	WP_011477929.1	WP_004996719.1	WP_014364392.1	NP_220493.1	WP_004596473.1
7	7	0.844	WP_010976846.1	WP_011190594.1	WP_011477819.1	WP_012150391.1	WP_053350899.1	NP_220524.1	WP_004599757.1
7	7	0.844	WP_010977031.1	WP_011190736.1	WP_011477685.1	WP_012150587.1	WP_014392027.1	NP_220664.1	WP_004597348.1
7	7	0.844	WP_010977111.1	WP_011190799.1	WP_011477507.1	WP_010977111.1	WP_014392103.1	NP_220728.1	WP_004597472.1
7	7	0.844	WP_010977331.1	WP_014419437.1	WP_011477457.1	WP_012262415.1	WP_014392449.1	NP_220848.1	WP_014411708.1
7	7	0.844	WP_010977891.1	WP_011191284.1	WP_011476744.1	WP_012151438.1	WP_014391653.1	NP_221214.1	WP_004596750.1
7	7	0.844	WP_014410794.1	WP_011190909.1	WP_016948158.1	WP_012150942.1	WP_014392460.1	NP_220843.1	WP_014411744.1
7	7	0.843	WP_010976692.1	WP_011190481.1	WP_011476700.1	WP_012150228.1	WP_014391690.1	NP_220400.1	WP_004596705.1
7	7	0.843	WP_010976730.1	WP_011190571.1	WP_011476723.1	WP_012150274.1	WP_014391708.1	NP_220426.1	WP_004599709.1
7	7	0.843	WP_010976845.1	WP_011190590.1	WP_011477823.1	WP_012262223.1	WP_014391841.1	NP_220520.1	WP_004597170.1
7	7	0.843	WP_010977060.1	WP_011190758.1	WP_011477198.1	WP_012150615.1	WP_014392054.1	NP_220687.1	WP_004597393.1
7	7	0.843	WP_010977077.1	WP_011190769.1	WP_011477489.1	WP_012150635.1	WP_053350957.1	NP_220698.1	WP_004599398.1
7	7	0.843	WP_010977290.1	WP_011190940.1	WP_011477438.1	WP_012150855.1	WP_014392274.1	NP_220876.1	WP_004597746.1
7	7	0.843	WP_010977426.1	WP_011190990.1	WP_011477281.1	WP_012150993.1	WP_014392397.1	NP_220925.1	WP_004597846.1
7	7	0.843	WP_016830561.1	WP_011191257.1	WP_011477300.1	WP_014362432.1	WP_014391619.1	NP_221189.1	WP_004596804.1
7	7	0.842	WP_004996634.1	WP_011190599.1	WP_011477814.1	WP_012150395.1	WP_014391849.1	NP_220529.1	WP_014411735.1
7	7	0.842	WP_004997475.1	WP_011191170.1	WP_011478055.1	WP_012151280.1	WP_014392757.1	NP_221104.1	WP_004596998.1
7	7	0.842	WP_010976753.1	WP_011190560.1	WP_011478043.1	WP_012150295.1	WP_053350882.1	NP_220437.1	WP_004596636.1
7	7	0.842	WP_010977081.1	WP_011190774.1	WP_011477484.1	WP_012150639.1	WP_014392075.1	NP_220703.1	WP_004599404.1
7	7	0.842	WP_010977365.1	WP_011190959.1	WP_011477102.1	WP_012262429.1	WP_045800414.1	NP_220895.1	WP_004599077.1
7	7	0.842	WP_012737002.1	WP_011190810.1	WP_011477088.1	WP_014362330.1	WP_014392121.1	NP_220741.1	WP_004597494.1
7	7	0.841	WP_004996797.1	WP_011190536.1	WP_011477948.1	WP_004996797.1	WP_010420471.1	NP_220463.1	WP_004596559.1
7	7	0.841	WP_010976863.1	WP_011190613.1	WP_011477793.1	WP_012150409.1	WP_053350906.1	NP_220543.1	WP_004597217.1
7	7	0.841	WP_010976970.1	WP_011190689.1	WP_011476922.1	WP_012150525.1	WP_014391954.1	NP_220615.1	WP_010886241.1
7	7	0.841	WP_010977243.1	WP_011190889.1	WP_011477905.1	WP_012150808.1	WP_014392231.1	NP_220822.1	WP_004597660.1
7	7	0.841	WP_010977464.1	WP_011191007.1	WP_011477211.1	WP_012151025.1	WP_014392366.1	NP_220942.1	WP_004599021.1
7	7	0.841	WP_010977510.1	WP_011191029.1	WP_011477520.1	WP_012151071.1	WP_045800439.1	NP_220963.1	WP_004597928.1
7	7	0.84	WP_004997794.1	WP_011191087.1	WP_011477717.1	WP_004997794.1	WP_045800471.1	NP_221019.1	WP_004596203.1
7	7	0.84	WP_010976922.1	WP_011190660.1	WP_011477186.1	WP_012150478.1	WP_014391918.1	NP_220587.1	WP_004595967.1
7	7	0.84	WP_010976979.1	WP_011190696.1	WP_011477634.1	WP_012262280.1	WP_014391966.1	NP_220622.1	WP_004598537.1
7	7	0.84	WP_010977108.1	WP_011190798.1	WP_011477370.1	WP_012150668.1	WP_014392100.1	NP_220727.1	WP_004597471.1
7	7	0.84	WP_010977657.1	WP_011191133.1	WP_011476892.1	WP_004997632.1	WP_014392690.1	NP_221062.1	WP_004598888.1
7	7	0.839	WP_004996101.1	WP_011190773.1	WP_011477485.1	WP_004996101.1	WP_014014134.1	NP_220702.1	WP_004597428.1
7	7	0.839	WP_004998361.1	WP_011190958.1	WP_041804794.1	WP_012150924.1	WP_014392515.1	NP_220894.1	WP_004597786.1
7	7	0.839	WP_010976779.1	WP_011190540.1	WP_011477953.1	WP_012150320.1	WP_014391780.1	NP_220459.1	WP_004599723.1
7	7	0.839	WP_010977124.1	WP_014419426.1	WP_012152063.1	WP_014362466.1	WP_014392119.1	NP_220738.1	WP_010886274.1
7	7	0.839	WP_010977176.1	WP_011190842.1	WP_011477017.1	WP_012150740.1	WP_053350981.1	NP_220774.1	WP_004599446.1
7	7	0.839	WP_010977341.1	WP_011190922.1	WP_011477389.1	WP_012150908.1	WP_053351043.1	NP_220856.1	WP_014411745.1
7	7	0.839	WP_010977794.1	WP_011191213.1	WP_011476799.1	WP_012151338.1	WP_014392812.1	NP_221145.1	WP_010886374.1
7	7	0.839	WP_010977919.1	WP_011191298.1	WP_011478031.1	WP_012151471.1	WP_014391679.1	NP_221227.1	WP_010886387.1
7	7	0.839	WP_016830705.1	WP_011190771.1	WP_011477487.1	WP_012150637.1	WP_014392073.1	NP_220700.1	WP_004597422.1
7	7	0.838	WP_010976767.1	WP_011190550.1	WP_011478003.1	WP_010976767.1	WP_010420526.1	NP_220449.1	WP_004596602.1
7	7	0.838	WP_010976772.1	WP_011190545.1	WP_011477998.1	WP_012150314.1	WP_045800144.1	NP_220454.1	WP_004599721.1
7	7	0.838	WP_010977246.1	WP_011190891.1	WP_011477117.1	WP_012150810.1	WP_014392234.1	NP_220824.1	WP_004597664.1
7	7	0.837	WP_004997515.1	WP_011191160.1	WP_011477960.1	WP_012151263.1	WP_045800056.1	NP_221094.1	WP_004597018.1
7	7	0.837	WP_010976750.1	WP_011190564.1	WP_011476818.1	WP_012150292.1	WP_014391751.1	NP_220433.1	WP_004596645.1
7	7	0.837	WP_010977095.1	WP_011190781.1	WP_011477380.1	WP_012262322.1	WP_045800259.1	NP_220709.1	WP_004599409.1
7	7	0.837	WP_029374425.1	WP_011190518.1	WP_011477981.1	WP_012150346.1	WP_041860557.1	NP_220486.1	WP_004599738.1
7	7	0.836	WP_010976766.1	WP_011190551.1	WP_011478004.1	WP_012150310.1	WP_014391767.1	NP_220448.1	WP_004596611.1
7	7	0.836	WP_010976894.1	WP_011190645.1	WP_011477761.1	WP_012150448.1	WP_014391896.1	NP_220572.1	WP_004598609.1
7	7	0.836	WP_010976933.1	WP_011190667.1	WP_011477462.1	WP_012150488.1	WP_014391926.1	NP_220594.1	WP_014411739.1
7	7	0.836	WP_010977484.1	WP_011191012.1	WP_011477563.1	WP_012151042.1	WP_014392349.1	NP_220946.1	WP_004599014.1
7	7	0.836	WP_010977587.1	WP_011191091.1	WP_011477721.1	WP_012151152.1	WP_053351098.1	NP_221023.1	WP_004596199.1
7	7	0.835	WP_004997814.1	WP_011191082.1	WP_011477710.1	WP_012151145.1	WP_014392628.1	NP_221012.1	WP_004596219.1
7	7	0.835	WP_010976714.1	WP_011190579.1	WP_011477942.1	WP_010976714.1	WP_014391726.1	NP_220416.1	WP_004596668.1
7	7	0.835	WP_010976726.1	WP_011190572.1	WP_011476727.1	WP_012150266.1	WP_014391716.1	NP_220424.1	WP_004596659.1
7	7	0.835	WP_010977349.1	WP_011190929.1	WP_011477609.1	WP_012150913.1	WP_053351040.1	NP_220863.1	WP_004597728.1
7	7	0.835	WP_010977487.1	WP_011191016.1	WP_011477655.1	WP_012151046.1	WP_014392345.1	NP_220950.1	WP_004597894.1
7	7	0.835	WP_010977488.1	WP_011191017.1	WP_011477656.1	WP_012151047.1	WP_045800355.1	NP_220951.1	WP_004597896.1
7	7	0.835	WP_010977780.1	WP_011191200.1	WP_011476774.1	WP_012151325.1	WP_045800079.1	NP_221132.1	WP_004599650.1
7	7	0.834	WP_004997812.1	WP_014419454.1	WP_011477712.1	WP_012151147.1	WP_004997812.1	NP_221014.1	WP_004596215.1
7	7	0.834	WP_004998013.1	WP_011191024.1	WP_011477365.1	WP_012151060.1	WP_014392330.1	NP_220958.1	WP_004597914.1
7	7	0.834	WP_010976906.1	WP_011190654.1	WP_011477802.1	WP_014362457.1	WP_045800198.1	NP_220583.1	WP_004595953.1
7	7	0.834	WP_010976968.1	WP_011190687.1	WP_011476924.1	WP_012150523.1	WP_053350935.1	NP_220613.1	WP_004598566.1
7	7	0.834	WP_010977134.1	WP_011190816.1	WP_011477908.1	WP_012150691.1	WP_045800277.1	NP_220748.1	WP_004597508.1
7	7	0.834	WP_010977146.1	WP_011190824.1	WP_011477535.1	WP_012150705.1	WP_014392140.1	NP_220756.1	WP_014411741.1
7	7	0.834	WP_010977181.1	WP_011190847.1	WP_011477023.1	WP_004995853.1	WP_014392175.1	NP_220779.1	WP_004597579.1
7	7	0.834	WP_010977229.1	WP_011190880.1	WP_011477883.1	WP_012150789.1	WP_045800311.1	NP_220813.1	WP_004597642.1
7	7	0.834	WP_010977485.1	WP_014419445.1	WP_011477564.1	WP_012262490.1	WP_053351023.1	NP_220947.1	WP_004597887.1
7	7	0.834	WP_016830743.1	WP_011190858.1	WP_011477545.1	WP_012150757.1	WP_014392189.1	NP_220792.1	WP_004597599.1
7	7	0.834	WP_041471719.1	WP_011190836.1	WP_011477596.1	WP_012150732.1	WP_014392163.1	NP_220767.1	WP_004599441.1
7	7	0.833	WP_004996420.1	WP_011190679.1	WP_011477206.1	WP_004996420.1	WP_014391942.1	NP_220606.1	WP_004596020.1
7	7	0.833	WP_004997127.1	WP_011191278.1	WP_011476749.1	WP_004997127.1	WP_014391648.1	NP_221209.1	WP_004596757.1
7	7	0.833	WP_010977532.1	WP_011191042.1	WP_011477530.1	WP_004997924.1	WP_014392579.1	NP_220976.1	WP_004597958.1
7	7	0.832	WP_010976777.1	WP_011190542.1	WP_011477950.1	WP_012150318.1	WP_014391778.1	NP_220457.1	WP_004596580.1
7	7	0.832	WP_010976830.1	WP_011190497.1	WP_011477843.1	WP_012150372.1	WP_014391826.1	NP_220506.1	WP_004599750.1
7	7	0.832	WP_010976848.1	WP_011190596.1	WP_011477817.1	WP_012150393.1	WP_014391846.1	NP_220526.1	WP_004597178.1
7	7	0.832	WP_041471726.1	WP_011190933.1	WP_011477864.1	WP_012150864.1	WP_053351012.1	NP_220868.1	WP_004597734.1
7	7	0.831	WP_004997015.1	WP_011190479.1	WP_041804577.1	WP_012150226.1	WP_014391688.1	NP_220398.1	WP_004596708.1
7	7	0.831	WP_010976765.1	WP_011190552.1	WP_011478005.1	WP_012150309.1	WP_045799376.1	NP_220447.1	WP_004599717.1
7	7	0.831	WP_010976843.1	WP_011190588.1	WP_011477827.1	WP_012150385.1	WP_014391839.1	NP_220518.1	WP_004597166.1
7	7	0.831	WP_010976980.1	WP_011190697.1	WP_011477633.1	WP_012150536.1	WP_014391967.1	NP_220623.1	WP_004596051.1
7	7	0.831	WP_041471775.1	WP_011191130.1	WP_011476895.1	WP_014362405.1	WP_045800497.1	NP_221059.1	WP_004598076.1
7	7	0.83	WP_004997919.1	WP_011191043.1	WP_011477531.1	WP_012151091.1	WP_045800450.1	NP_220977.1	WP_004597959.1
7	7	0.83	WP_010976698.1	WP_011190485.1	WP_011477848.1	WP_012150232.1	WP_053350874.1	NP_220405.1	WP_004596698.1
7	7	0.83	WP_010976809.1	WP_011190514.1	WP_011477991.1	WP_012150353.1	WP_014391796.1	NP_220490.1	WP_004599741.1
7	7	0.83	WP_010976955.1	WP_011190680.1	WP_011477207.1	WP_012150512.1	WP_053350930.1	NP_220607.1	WP_004598574.1
7	7	0.83	WP_010977849.1	WP_011191251.1	WP_011478072.1	WP_012151397.1	WP_053350858.1	NP_221183.1	WP_004596821.1
7	7	0.829	WP_004995988.1	WP_011190809.1	WP_011477087.1	WP_004995988.1	WP_004995988.1	NP_220740.1	WP_004597491.1
7	7	0.829	WP_004997809.1	WP_004596213.1	WP_011477713.1	WP_004997809.1	WP_014392630.1	NP_221015.1	WP_004596213.1
7	7	0.829	WP_010976748.1	WP_011190565.1	WP_011476820.1	WP_012150290.1	WP_014391749.1	NP_220432.1	WP_004599713.1
7	7	0.829	WP_016830950.1	WP_011191173.1	WP_011476738.1	WP_014362414.1	WP_014392762.1	NP_221107.1	WP_004599636.1
7	7	0.829	WP_016830967.1	WP_011191209.1	WP_016948103.1	WP_012151334.1	WP_014273810.1	NP_221141.2	WP_010886372.1
7	7	0.828	WP_004996543.1	WP_011190646.1	WP_011477773.1	WP_012262250.1	WP_053350920.1	NP_220573.1	WP_004595923.1
7	7	0.828	WP_004998227.1	WP_004597685.1	WP_004998227.1	WP_004998227.1	WP_014120844.1	NP_220836.1	WP_004597685.1
7	7	0.828	WP_010976759.1	WP_011190555.1	WP_011476707.1	WP_012262195.1	WP_014391761.1	NP_220442.1	WP_004596627.1
7	7	0.828	WP_010976869.1	WP_011190621.1	WP_011477776.1	WP_012150418.1	WP_014391871.1	NP_220550.1	WP_010886220.1
7	7	0.828	WP_010977461.1	WP_011191004.1	WP_011477214.1	WP_012151022.1	WP_053351025.1	NP_220939.1	WP_004599027.1
7	7	0.828	WP_010977874.1	WP_011191267.1	WP_011478010.1	WP_012151423.1	WP_045800107.1	NP_221198.1	WP_004596781.1
7	7	0.827	WP_004995762.1	WP_011190870.1	WP_011477415.1	WP_012150781.1	WP_014392208.1	NP_220804.1	WP_004599465.1
7	7	0.827	WP_004996011.1	WP_011190803.1	WP_011477434.1	WP_004996011.1	WP_014392112.1	NP_220733.1	WP_004597479.1
7	7	0.827	WP_004997078.1	WP_011191294.1	WP_011478028.1	WP_004997078.1	WP_014391671.1	NP_221224.1	WP_004596731.1
7	7	0.827	WP_010976715.1	WP_011190578.1	WP_011477941.1	WP_012150256.1	WP_014391725.1	NP_220417.1	WP_004596667.1
7	7	0.827	WP_010976774.1	WP_011190543.1	WP_011477995.1	WP_012150315.1	WP_045800146.1	NP_220456.1	WP_004596582.1
7	7	0.827	WP_010976986.1	WP_011190705.1	WP_011477624.1	WP_012150546.1	WP_014391978.1	NP_220632.1	WP_004598531.1
7	7	0.827	WP_010977527.1	WP_011191038.1	WP_011477523.1	WP_012151088.1	WP_014392573.1	NP_220972.1	WP_004598984.1
7	7	0.827	WP_010977781.1	WP_011191201.1	WP_011476775.1	WP_012151326.1	WP_053351124.1	NP_221133.1	WP_004596938.1
7	7	0.827	WP_010977884.1	WP_011191275.1	WP_011476752.1	WP_012151432.1	WP_045800110.1	NP_221206.1	WP_004596762.1
