Orthogroup	c1	c2	c3	c4	c5
OG0000024	lcl|NC_000922.1_prot_NP_225165.1_927	lcl|NC_005043.1_prot_WP_010883604.1_972	lcl|NC_002491.1_prot_WP_010883604.1_976	lcl|NC_017285.1_prot_WP_014518140.1_841	lcl|AE002161.1_prot_AAF38676.1_873, lcl|AE002161.1_prot_AAF73714.1_875
OG0000025	lcl|NC_000922.1_prot_NP_225168.1_930	lcl|NC_005043.1_prot_WP_010883607.1_975	lcl|NC_002491.1_prot_WP_010883607.1_979	lcl|NC_017285.1_prot_WP_010883607.1_838, lcl|NC_017285.1_prot_WP_014518131.1_833	lcl|AE002161.1_prot_AAF38673.1_870
OG0000026	lcl|NC_000922.1_prot_NP_225173.1_935	lcl|NC_005043.1_prot_WP_041466973.1_981	lcl|NC_002491.1_prot_WP_010883612.1_984	lcl|NC_017285.1_prot_WP_014518124.1_828, lcl|NC_017285.1_prot_WP_080511706.1_836	lcl|AE002161.1_prot_AAF38665.1_862
OG0000027	lcl|NC_000922.1_prot_NP_225178.1_940	lcl|NC_005043.1_prot_WP_010883617.1_986	lcl|NC_002491.1_prot_WP_010883617.1_989	lcl|NC_017285.1_prot_WP_014518119.1_823, lcl|NC_017285.1_prot_WP_080511705.1_835	lcl|AE002161.1_prot_AAF38661.1_857
OG0000028	lcl|NC_000922.1_prot_NP_225179.1_941	lcl|NC_005043.1_prot_WP_011126269.1_987	lcl|NC_002491.1_prot_WP_011126269.1_990	lcl|NC_017285.1_prot_834, lcl|NC_017285.1_prot_WP_011126269.1_822	lcl|AE002161.1_prot_AAF38660.1_856
OG0000029		lcl|NC_005043.1_prot_WP_010882854.1_200	lcl|NC_002491.1_prot_WP_010882854.1_204	lcl|NC_017285.1_prot_542, lcl|NC_017285.1_prot_WP_014517886.1_535, lcl|NC_017285.1_prot_WP_014517919.1_578	lcl|AE002161.1_prot_AAF38383.1_554
OG0000030	lcl|NC_000922.1_prot_NP_224214.1_1	lcl|NC_005043.1_prot_WP_010882656.1_1	lcl|NC_002491.1_prot_WP_010882656.1_1	lcl|NC_017285.1_prot_WP_010882656.1_733	lcl|AE002161.1_prot_AAF38574.1_761
OG0000031	lcl|NC_000922.1_prot_NP_224215.1_2	lcl|NC_005043.1_prot_WP_010882657.1_2	lcl|NC_002491.1_prot_WP_010882657.1_2	lcl|NC_017285.1_prot_WP_010882657.1_732	lcl|AE002161.1_prot_AAF73703.1_759
OG0000032	lcl|NC_000922.1_prot_NP_224216.1_3	lcl|NC_005043.1_prot_WP_011126035.1_3	lcl|NC_002491.1_prot_WP_010882658.1_3	lcl|NC_017285.1_prot_WP_014518051.1_731	lcl|AE002161.1_prot_AAF38572.1_758
OG0000033	lcl|NC_000922.1_prot_NP_224217.1_4	lcl|NC_005043.1_prot_WP_010882659.1_4	lcl|NC_002491.1_prot_WP_010895258.1_4	lcl|NC_017285.1_prot_WP_014518050.1_730	lcl|AE002161.1_prot_AAF38571.1_757
OG0000034	lcl|NC_000922.1_prot_NP_224218.1_5	lcl|NC_005043.1_prot_WP_011126036.1_5	lcl|NC_002491.1_prot_WP_010882660.1_5	lcl|NC_017285.1_prot_WP_014518049.1_729	lcl|AE002161.1_prot_AAF38570.1_756
OG0000035	lcl|NC_000922.1_prot_NP_224220.1_7	lcl|NC_005043.1_prot_WP_011126037.1_7	lcl|NC_002491.1_prot_WP_070097237.1_7	lcl|NC_017285.1_prot_727	lcl|AE002161.1_prot_AAF38569.1_755
OG0000036	lcl|NC_000922.1_prot_NP_224226.1_10	lcl|NC_005043.1_prot_WP_010882668.1_12	lcl|NC_002491.1_prot_WP_010882668.1_12	lcl|NC_017285.1_prot_WP_041466874.1_722	lcl|AE002161.1_prot_AAF38562.1_748
OG0000037	lcl|NC_000922.1_prot_NP_224227.1_11	lcl|NC_005043.1_prot_WP_010895261.1_13	lcl|NC_002491.1_prot_WP_010895261.1_13	lcl|NC_017285.1_prot_WP_014518043.1_721	lcl|AE002161.1_prot_AAF38561.1_747
OG0000038	lcl|NC_000922.1_prot_NP_224228.1_12	lcl|NC_005043.1_prot_WP_010882670.1_22	lcl|NC_002491.1_prot_WP_010882670.1_23	lcl|NC_017285.1_prot_WP_014518039.1_715	lcl|AE002161.1_prot_AAF38559.1_745
OG0000039	lcl|NC_000922.1_prot_NP_224229.1_13	lcl|NC_005043.1_prot_WP_011126047.1_23	lcl|NC_002491.1_prot_WP_010882671.1_24	lcl|NC_017285.1_prot_WP_014518038.1_714	lcl|AE002161.1_prot_AAF38558.1_744
OG0000040	lcl|NC_000922.1_prot_NP_224230.1_14	lcl|NC_005043.1_prot_WP_010882672.1_24	lcl|NC_002491.1_prot_WP_010882672.1_25	lcl|NC_017285.1_prot_WP_010882672.1_713	lcl|AE002161.1_prot_AAF38557.1_743
OG0000041	lcl|NC_000922.1_prot_NP_224231.1_15	lcl|NC_005043.1_prot_WP_010882673.1_25	lcl|NC_002491.1_prot_WP_010882673.1_26	lcl|NC_017285.1_prot_WP_014518037.1_712	lcl|AE002161.1_prot_AAF73702.1_742
OG0000042	lcl|NC_000922.1_prot_NP_224232.1_16	lcl|NC_005043.1_prot_WP_010882674.1_26	lcl|NC_002491.1_prot_WP_010882674.1_27	lcl|NC_017285.1_prot_WP_014518036.1_711	lcl|AE002161.1_prot_AAF73701.1_741
OG0000043	lcl|NC_000922.1_prot_NP_224233.1_17	lcl|NC_005043.1_prot_WP_010882675.1_27	lcl|NC_002491.1_prot_WP_010882675.1_28	lcl|NC_017285.1_prot_WP_014518035.1_710	lcl|AE002161.1_prot_AAF38556.1_740
OG0000044	lcl|NC_000922.1_prot_NP_224234.1_18	lcl|NC_005043.1_prot_WP_010882676.1_28	lcl|NC_002491.1_prot_WP_010892169.1_29	lcl|NC_017285.1_prot_WP_014518034.1_709	lcl|AE002161.1_prot_AAF38555.1_739
OG0000045	lcl|NC_000922.1_prot_NP_224235.1_19	lcl|NC_005043.1_prot_WP_010882677.1_29	lcl|NC_002491.1_prot_WP_010882677.1_30	lcl|NC_017285.1_prot_WP_010882677.1_708	lcl|AE002161.1_prot_AAF38554.1_738
OG0000046	lcl|NC_000922.1_prot_NP_224236.1_20	lcl|NC_005043.1_prot_WP_010882678.1_30	lcl|NC_002491.1_prot_WP_010882678.1_31	lcl|NC_017285.1_prot_WP_010882678.1_707	lcl|AE002161.1_prot_AAF38553.1_737
OG0000047	lcl|NC_000922.1_prot_NP_224237.1_21	lcl|NC_005043.1_prot_WP_010892168.1_31	lcl|NC_002491.1_prot_WP_010892168.1_32	lcl|NC_017285.1_prot_706	lcl|AE002161.1_prot_AAF38552.1_736
OG0000048	lcl|NC_000922.1_prot_NP_224238.1_22	lcl|NC_005043.1_prot_WP_010882680.1_32	lcl|NC_002491.1_prot_WP_010882680.1_33	lcl|NC_017285.1_prot_WP_014518030.1_705	lcl|AE002161.1_prot_AAF38551.1_735
OG0000049	lcl|NC_000922.1_prot_NP_224239.1_23	lcl|NC_005043.1_prot_WP_010882681.1_33	lcl|NC_002491.1_prot_WP_010882681.1_34	lcl|NC_017285.1_prot_WP_010882681.1_704	lcl|AE002161.1_prot_AAF38550.1_734
OG0000050	lcl|NC_000922.1_prot_NP_224240.1_24	lcl|NC_005043.1_prot_WP_010882682.1_34	lcl|NC_002491.1_prot_WP_010882682.1_35	lcl|NC_017285.1_prot_WP_014518029.1_703	lcl|AE002161.1_prot_AAF38549.1_733
OG0000051	lcl|NC_000922.1_prot_NP_224241.1_25	lcl|NC_005043.1_prot_WP_010882683.1_35	lcl|NC_002491.1_prot_WP_010882683.1_36	lcl|NC_017285.1_prot_WP_014518028.1_702	lcl|AE002161.1_prot_AAF38548.1_732
OG0000052	lcl|NC_000922.1_prot_NP_224242.1_26	lcl|NC_005043.1_prot_WP_011126049.1_36	lcl|NC_002491.1_prot_WP_010882684.1_37	lcl|NC_017285.1_prot_WP_014518027.1_701	lcl|AE002161.1_prot_AAF38547.1_731
OG0000053	lcl|NC_000922.1_prot_NP_224243.1_27	lcl|NC_005043.1_prot_WP_010882685.1_37	lcl|NC_002491.1_prot_WP_010892166.1_38	lcl|NC_017285.1_prot_WP_014518026.1_700	lcl|AE002161.1_prot_AAF38546.1_730
OG0000054	lcl|NC_000922.1_prot_NP_224244.1_28	lcl|NC_005043.1_prot_WP_010882686.1_38	lcl|NC_002491.1_prot_WP_010882686.1_39	lcl|NC_017285.1_prot_WP_014518025.1_699	lcl|AE002161.1_prot_AAF38544.1_728
OG0000055	lcl|NC_000922.1_prot_NP_224245.1_29	lcl|NC_005043.1_prot_WP_010882687.1_39	lcl|NC_002491.1_prot_WP_010882687.1_40	lcl|NC_017285.1_prot_WP_010882687.1_698	lcl|AE002161.1_prot_AAF38543.1_727
OG0000056	lcl|NC_000922.1_prot_NP_224246.1_30	lcl|NC_005043.1_prot_WP_011126050.1_40	lcl|NC_002491.1_prot_WP_010892163.1_41	lcl|NC_017285.1_prot_WP_014518024.1_697	lcl|AE002161.1_prot_AAF38542.1_726
OG0000057	lcl|NC_000922.1_prot_NP_224247.1_31	lcl|NC_005043.1_prot_WP_010882689.1_41	lcl|NC_002491.1_prot_WP_010882689.1_42	lcl|NC_017285.1_prot_WP_010882689.1_696	lcl|AE002161.1_prot_AAF38541.1_725
OG0000058	lcl|NC_000922.1_prot_NP_224248.1_32	lcl|NC_005043.1_prot_WP_010882690.1_42	lcl|NC_002491.1_prot_WP_010895270.1_43	lcl|NC_017285.1_prot_WP_014518023.1_695	lcl|AE002161.1_prot_AAF38540.1_724
OG0000059	lcl|NC_000922.1_prot_NP_224255.1_37	lcl|NC_005043.1_prot_WP_010882697.1_46	lcl|NC_002491.1_prot_WP_010895272.1_49	lcl|NC_017285.1_prot_WP_014518017.1_689	lcl|AE002161.1_prot_AAF38532.1_716
OG0000060	lcl|NC_000922.1_prot_NP_224256.1_38	lcl|NC_005043.1_prot_WP_011126052.1_47	lcl|NC_002491.1_prot_WP_010882698.1_50	lcl|NC_017285.1_prot_WP_014518016.1_688	lcl|AE002161.1_prot_AAF38531.1_715
OG0000061	lcl|NC_000922.1_prot_NP_224257.1_39	lcl|NC_005043.1_prot_WP_010882699.1_48	lcl|NC_002491.1_prot_WP_010882699.1_51	lcl|NC_017285.1_prot_WP_014518015.1_687	lcl|AE002161.1_prot_AAF38530.1_714
OG0000062	lcl|NC_000922.1_prot_NP_224260.1_42	lcl|NC_005043.1_prot_WP_010882702.1_51	lcl|NC_002491.1_prot_WP_010882702.1_54	lcl|NC_017285.1_prot_WP_014518012.1_684	lcl|AE002161.1_prot_AAF38528.1_712
OG0000063	lcl|NC_000922.1_prot_NP_224261.1_43	lcl|NC_005043.1_prot_WP_010882703.1_52	lcl|NC_002491.1_prot_WP_010882703.1_55	lcl|NC_017285.1_prot_WP_010882703.1_683	lcl|AE002161.1_prot_AAF38527.1_711
OG0000064	lcl|NC_000922.1_prot_NP_224262.1_44	lcl|NC_005043.1_prot_WP_011126053.1_53	lcl|NC_002491.1_prot_WP_010882704.1_56	lcl|NC_017285.1_prot_WP_014518011.1_682	lcl|AE002161.1_prot_AAF38526.1_710
OG0000065	lcl|NC_000922.1_prot_NP_224263.1_45	lcl|NC_005043.1_prot_WP_010882705.1_54	lcl|NC_002491.1_prot_WP_010882705.1_57	lcl|NC_017285.1_prot_WP_010882705.1_681	lcl|AE002161.1_prot_AAF38525.1_709
OG0000066	lcl|NC_000922.1_prot_NP_224264.1_46	lcl|NC_005043.1_prot_WP_010882706.1_55	lcl|NC_002491.1_prot_WP_010892155.1_58	lcl|NC_017285.1_prot_WP_014518010.1_680	lcl|AE002161.1_prot_AAF73700.1_708
OG0000067	lcl|NC_000922.1_prot_NP_224265.1_47	lcl|NC_005043.1_prot_WP_010882707.1_56	lcl|NC_002491.1_prot_WP_010882707.1_59	lcl|NC_017285.1_prot_WP_014518008.1_679	lcl|AE002161.1_prot_AAF38524.1_707
OG0000068	lcl|NC_000922.1_prot_NP_224266.1_48	lcl|NC_005043.1_prot_WP_010882708.1_57	lcl|NC_002491.1_prot_WP_010882708.1_60	lcl|NC_017285.1_prot_WP_010882708.1_678	lcl|AE002161.1_prot_AAF38523.1_706
OG0000069	lcl|NC_000922.1_prot_NP_224267.1_49	lcl|NC_005043.1_prot_WP_010882709.1_58	lcl|NC_002491.1_prot_WP_010882709.1_61	lcl|NC_017285.1_prot_WP_010882709.1_677	lcl|AE002161.1_prot_AAF38522.1_705
OG0000070	lcl|NC_000922.1_prot_NP_224268.1_50	lcl|NC_005043.1_prot_WP_010882710.1_59	lcl|NC_002491.1_prot_WP_010882710.1_62	lcl|NC_017285.1_prot_WP_010882710.1_676	lcl|AE002161.1_prot_AAF73699.1_704
OG0000071	lcl|NC_000922.1_prot_NP_224269.1_51	lcl|NC_005043.1_prot_WP_010892154.1_60	lcl|NC_002491.1_prot_WP_010892154.1_63	lcl|NC_017285.1_prot_WP_014518007.1_675	lcl|AE002161.1_prot_AAF73698.1_703
OG0000072	lcl|NC_000922.1_prot_NP_224270.1_52	lcl|NC_005043.1_prot_WP_010882712.1_61	lcl|NC_002491.1_prot_WP_010882712.1_64	lcl|NC_017285.1_prot_WP_014518006.1_674	lcl|AE002161.1_prot_AAF38521.1_702
OG0000073	lcl|NC_000922.1_prot_NP_224271.1_53	lcl|NC_005043.1_prot_WP_010882713.1_62	lcl|NC_002491.1_prot_WP_010882713.1_65	lcl|NC_017285.1_prot_WP_010882713.1_673	lcl|AE002161.1_prot_AAF38519.1_700
OG0000074	lcl|NC_000922.1_prot_NP_224272.1_54	lcl|NC_005043.1_prot_WP_010882714.1_63	lcl|NC_002491.1_prot_WP_010882714.1_66	lcl|NC_017285.1_prot_WP_035416831.1_672	lcl|AE002161.1_prot_AAF38518.1_699
OG0000075	lcl|NC_000922.1_prot_NP_224273.1_55	lcl|NC_005043.1_prot_WP_041466947.1_64	lcl|NC_002491.1_prot_WP_010895274.1_67	lcl|NC_017285.1_prot_WP_035416830.1_671	lcl|AE002161.1_prot_AAF38517.1_698
OG0000076	lcl|NC_000922.1_prot_NP_224274.1_56	lcl|NC_005043.1_prot_WP_010882716.1_65	lcl|NC_002491.1_prot_WP_010882716.1_68	lcl|NC_017285.1_prot_WP_014518002.1_670	lcl|AE002161.1_prot_AAF38516.1_697
OG0000077	lcl|NC_000922.1_prot_NP_224275.1_57	lcl|NC_005043.1_prot_WP_010882717.1_66	lcl|NC_002491.1_prot_WP_010882717.1_69	lcl|NC_017285.1_prot_WP_014518001.1_669	lcl|AE002161.1_prot_AAF38515.1_696
OG0000078	lcl|NC_000922.1_prot_NP_224276.1_58	lcl|NC_005043.1_prot_WP_010882718.1_67	lcl|NC_002491.1_prot_WP_010882718.1_70	lcl|NC_017285.1_prot_WP_014517999.1_668	lcl|AE002161.1_prot_AAF38514.1_695
OG0000079	lcl|NC_000922.1_prot_NP_224277.1_59	lcl|NC_005043.1_prot_WP_010892151.1_68	lcl|NC_002491.1_prot_WP_010892151.1_72	lcl|NC_017285.1_prot_WP_014517998.1_667	lcl|AE002161.1_prot_AAF38513.1_694
OG0000080	lcl|NC_000922.1_prot_NP_224279.1_60	lcl|NC_005043.1_prot_WP_010882721.1_69	lcl|NC_002491.1_prot_WP_010895276.1_73	lcl|NC_017285.1_prot_WP_014517996.1_666	lcl|AE002161.1_prot_AAF38512.1_693
OG0000081	lcl|NC_000922.1_prot_NP_224280.1_61	lcl|NC_005043.1_prot_WP_010882722.1_70	lcl|NC_002491.1_prot_WP_010882722.1_74	lcl|NC_017285.1_prot_WP_014517995.1_665	lcl|AE002161.1_prot_AAF38511.1_692
